family_id,evidence_level,scope,adjustment,interval,predefined_before_test_summary,primary_unit,decision_role,formation_time,result_informed_status,source_artifact,generator_command
D-AUGDIST,descriptive sensitivity,augmentation-distribution operating points,none,descriptive paired intervals/probabilities,no,training seed,training-distribution sensitivity only,after result review; local chronology only,result-informed,paper_outputs/analysis_working/multiplicity_registry.csv,python scripts/analyze_fixed_benchmark_evidence.py
D-SEEDGRID-3X3,descriptive sensitivity,3 split seeds x 3 training seeds on FD004,none,descriptive variance decomposition,no,split-seed x training-seed cell,randomness decomposition only,after result review; local chronology only,result-informed,paper_outputs/analysis_working/multiplicity_registry.csv,python scripts/analyze_fixed_benchmark_evidence.py
D-NCMAPSS-ROT,exploratory computational-proxy audit,N-CMAPSS DS02 development-unit rotations and K sensitivity,none,descriptive unit-level summaries,no,official or rotated development unit,failure analysis; not external validation,after result review; local chronology only,result-informed,paper_outputs/advanced_evidence/ncmapss_dev_rotation_summary.csv,python scripts/analyze_ncmapss_dev_rotation.py
D-STREAM10-FIXED,retrospective fixed-design sensitivity,4 fixed tasks x 2 configurations x 10 separately seeded training streams = 80 cells,none,finite-design stream-level effects and sign counts,no,training stream within one fixed engine split and task,finite-design stability description; no population inference,after result review; local chronology only,result-informed,paper_outputs/round12_new_evidence/independent_stream_effects.csv,python scripts/analyze_round12_new_experiments.py --families independent
D-CROSSED-3X3,retrospective crossed finite-design audit,4 fixed tasks x 2 configurations x 3 engine splits x 3 training streams = 72 cells,none,"cell effects, sign counts, finite-cell additive-residual RMS, and level-subset sensitivity",no,engine-split x training-stream cell within fixed task,selected-grid arithmetic only; no population variance components,after result review; local chronology only,result-informed,paper_outputs/round12_new_evidence/crossed_split_stream_summary.csv,python scripts/analyze_round12_new_experiments.py --families crossed
D-CMAPSS-PREP5,retrospective preprocessing sensitivity,FD004 x 2 configurations x 3 composite seeds x 5 one-factor settings = 30 cells,none,finite-design stream effects and reference-relative changes,no,composite-seed repetition within fixed FD004,window and sensor-budget dependence; not hyperparameter optimization,after result review; local chronology only,result-informed,paper_outputs/round12_new_evidence/cmapss_preprocessing_paired_summary.csv,python scripts/analyze_round12_new_experiments.py --families cmapss_preprocessing
D-PREF-REFIT-3X3,retrospective selection-operation audit,9 preference candidates x 3 engine splits x 3 training streams plus matched references,none; selection counts are conditional on the fixed grid,none,no,split-stream cell; test engines are reused across selected cells,selection-instability diagnostic; not selection-adjusted performance evidence,after result review; local chronology only,result-informed,paper_outputs/round12_new_evidence/preference_cell_summary.csv,python scripts/analyze_round12_new_experiments.py --families preference
D-SHARED-FACT-8,retrospective limited factorial,2 backbone x 2 shared-risk x 2 shared-consistency cells on FD004 across five streams,none,finite-design stream-level factorial effects,no,training stream within the fixed FD004 split,shared-objective factor description; OCM-specific components remain bundled,after result review; local chronology only,result-informed,paper_outputs/round12_new_evidence/factorial_effect_summary.csv,python scripts/analyze_round12_new_experiments.py --families factorial
D-LOFO-4,retrospective augmentation-overlap audit,4 held-out perturbation families x 2 configurations x 5 training streams,none,"absolute corrupted AUC, clean-corrected degradation AUC, and level effects",no,training stream; five perturbation seeds are averaged within scenario,algorithmic sensitivity to declared held-out families; not physical-fault robustness,after result review; local chronology only,result-informed,paper_outputs/round12_new_evidence/lofo_family_effect_summary.csv,python scripts/analyze_round12_new_experiments.py --families lofo
D-NCMAPSS-SW9,retrospective computational-proxy sensitivity,3 sampling intervals x 3 sampled-record windows x 5 streams on N-CMAPSS DS02,none,finite-design cell summaries,no,training stream; the same three official test units are reused,joint representation dependence only; density and horizon are confounded,after result review; local chronology only,result-informed,paper_outputs/round12_new_evidence/ncmapss_sampling_window_summary.csv,python scripts/analyze_round12_new_experiments.py --families ncmapss
D-NCMAPSS-H3,retrospective computational-proxy control,3 sampling intervals with source-record span fixed at 6001 across five streams,none,finite-design cell summaries,no,training stream; the same three official test units are reused,sampling-density sensitivity at one fixed source-record span; not external validation,after result review; local chronology only,result-informed,paper_outputs/round12_new_evidence/ncmapss_horizon_matched_summary.csv,python scripts/analyze_round12_new_experiments.py --families ncmapss_horizon
D-LATE-SUPPORT,descriptive diagnostic,conditional positive-tail severity cells,none; undefined when no positive event occurs,none,no,eligible engine within task and seed,"event-count context, not hypothesis testing",after result review; local chronology only,result-informed,paper_outputs/analysis_working/multiplicity_registry.csv,python scripts/analyze_fixed_benchmark_evidence.py
