artifact_id,release_path,schema_version,family_id,evidence_role,generator,generator_sha256,primary_key,source_path,source_sha256,release_sha256,row_count
max-t-family-calibration,max_t_family_calibration.csv,release-evidence-v1,E-FIXED-12,12-dimensional family-wise calibration diagnostic,scripts/analyze_release_statistics.py,a198eee7060dfd3162bf6ac65b414e4cd02e1bb73b2f8ef8679f9a952fd37128,dgp|method|estimand,paper_outputs/analysis_working/max_t_family_calibration.csv,cec73e25fa4e6c5415dfa0c6c82c3d231d145790de2b75e2a76fac898c17fb4b,cec73e25fa4e6c5415dfa0c6c82c3d231d145790de2b75e2a76fac898c17fb4b,15
feature-selection-stability,feature_selection_stability.csv,release-evidence-v1,D-ABLATION,descriptive feature-ranking audit,scripts/analyze_release_statistics.py,a198eee7060dfd3162bf6ac65b414e4cd02e1bb73b2f8ef8679f9a952fd37128,sensor,paper_outputs/analysis_working/feature_selection_stability.csv,7e92943350bf40b0bb09771f70ae1149f1e27816a628d5d452b59bbed28b344d,7e92943350bf40b0bb09771f70ae1149f1e27816a628d5d452b59bbed28b344d,21
multiplicity-registry,multiplicity_registry.csv,release-evidence-v1,ALL,release-level family and evidence registry,scripts/analyze_release_statistics.py,a198eee7060dfd3162bf6ac65b414e4cd02e1bb73b2f8ef8679f9a952fd37128,family_id,paper_outputs/analysis_working/multiplicity_registry.csv,603b9abbae19b45ef55886df21e9343d1e059b26f578b36082221f953b7ebcc3,603b9abbae19b45ef55886df21e9343d1e059b26f578b36082221f953b7ebcc3,22
condition-normalization-summary,condition_normalization_summary.csv,release-evidence-v1,S-NORM-9,matched sensitivity control,scripts/analyze_condition_normalization_controls.py,558acd9652fc8bace3fef54162c02b6e3265efc6e56ce5af7f2037d68cc6f72c,variant|metric,paper_outputs/analysis_working/condition_normalization_summary.csv,ebcf8a1391fc0e084e9e63de1848e00401b6805e20249f65b7d2139372e62e52,ebcf8a1391fc0e084e9e63de1848e00401b6805e20249f65b7d2139372e62e52,12
condition-normalization-contrasts,condition_normalization_contrasts.csv,release-evidence-v1,S-NORM-9,matched sensitivity control,scripts/analyze_condition_normalization_controls.py,558acd9652fc8bace3fef54162c02b6e3265efc6e56ce5af7f2037d68cc6f72c,comparison|comparator|metric,paper_outputs/analysis_working/condition_normalization_contrasts.csv,2356d1e61767e6e2003fa8dc78d72d39927389d4458dbd51e73e470332a148c4,2356d1e61767e6e2003fa8dc78d72d39927389d4458dbd51e73e470332a148c4,9
normalized-perturbation-contrasts,normalized_perturbation_contrasts.csv,release-evidence-v1,S-PERTURB-54,normalized-coordinate sensitivity,scripts/analyze_normalized_perturbation_evidence.py,257ba5f34a3bf9d4446588dffc7c70a10de6695c23a3462eb1b5fc360d6119e4,operating_point|comparator|scenario|metric,paper_outputs/advanced_evidence/normalized_perturbation_contrasts.csv,6b40a81153e7e2ea8a7ea4eb8268b696e60ef4062d1a40ea0a124b6a9e549650,6b40a81153e7e2ea8a7ea4eb8268b696e60ef4062d1a40ea0a124b6a9e549650,54
no-overlap-augmentation-audit,no_overlap_augmentation_audit.csv,release-evidence-v1,D-AUGDIST,p=0 no-training-perturbation-overlap diagnostic,scripts/analyze_augmentation_distribution_sensitivity.py,eca5262150b32d6f72b6383d3e63f4bd491772175f9459b562e67e2a3a354451,not applicable,paper_outputs/advanced_evidence/no_overlap_augmentation_audit.csv,70c498cc32306751ae6725ab14c080053e5ae32bf6cae14984768c2ec6646415,70c498cc32306751ae6725ab14c080053e5ae32bf6cae14984768c2ec6646415,30
normalized-perturbation-scale,normalized_perturbation_scale_calibration.csv,release-evidence-v1,S-PERTURB-54,empirical normalized-scale mapping; no raw-unit claim,scripts/calibrate_stress_amplitudes.py,e9e9b2a4d8c98f37c09bee9ccac9418100cfb7999cc88cf1085e6a5f7a8f5ca4,family|normalized_amplitude,paper_outputs/analysis_working/stress_amplitude_calibration.csv,1a2d138827cfda17d2fb753c4a3859de24f0a133b5125f39c08a75ca968b3478,1a2d138827cfda17d2fb753c4a3859de24f0a133b5125f39c08a75ca968b3478,13
mask-metadata-sensitivity,mask_metadata_sensitivity_summary.csv,release-evidence-v1,D-AUGDIST,metadata error diagnostic,scripts/analyze_mask_observation_sensitivity.py,fc9bd7604a6979ad4c01fa756526cd754f571f9e562cbfa3c8189cf44e0b96ca,model|scenario|level,paper_outputs/analysis_working/mask_observation_sensitivity_summary.csv,e211d8df69fd3357f564c283da4d3c2046bde2d50725f6be488315818a4057b1,e211d8df69fd3357f564c283da4d3c2046bde2d50725f6be488315818a4057b1,24
inference-latency,inference_latency_protocol_summary.csv,release-evidence-v1,D-RUNTIME,descriptive runtime audit,scripts/benchmark_inference_protocol.py,4952b31731d46a25a88b1029491f970c4cc19d30ee4724ef94a766b3a5456a5f,display_name|hardware|batch_size,paper_outputs/analysis_working/inference_latency_protocol_summary.csv,45991d6e308fe80acc549c8fe7a11139b0f7ddf2e42c36e65e843de5ba5e2df6,45991d6e308fe80acc549c8fe7a11139b0f7ddf2e42c36e65e843de5ba5e2df6,6
analysis-metadata,fixed_benchmark_analysis_metadata.json,release-evidence-v1,E-FIXED-12,algorithm and RNG disclosure,scripts/analyze_release_statistics.py,a198eee7060dfd3162bf6ac65b414e4cd02e1bb73b2f8ef8679f9a952fd37128,not applicable,paper_outputs/analysis_working/fixed_benchmark_analysis_metadata.json,b68df57b32445593a9da3c20624da70f8a2d20fc6886f78ad7b6d34ca0fb8c89,b68df57b32445593a9da3c20624da70f8a2d20fc6886f78ad7b6d34ca0fb8c89,
table_primary_fixed_task_estimates,tables/table_primary_fixed_task_estimates.tex,release-evidence-v1,DISPLAY,display table generated from release CSV,release table generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/table_primary_fixed_task_estimates.tex,29a02d2d091f0404a853758d1ee4271afe8e68c59fb280d8507f349a6ce8367d,29a02d2d091f0404a853758d1ee4271afe8e68c59fb280d8507f349a6ce8367d,
table_primary_seed_sign_patterns,tables/table_primary_seed_sign_patterns.tex,release-evidence-v1,DISPLAY,display table generated from release CSV,release table generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/table_primary_seed_sign_patterns.tex,6509ac3874733c5898156885fbb9f42382d2e2fcfc43dc26a311e12a71f48a7c,6509ac3874733c5898156885fbb9f42382d2e2fcfc43dc26a311e12a71f48a7c,
table_development_excluded_summary,tables/table_development_excluded_summary.tex,release-evidence-v1,DISPLAY,display table generated from release CSV,release table generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/table_development_excluded_summary.tex,591a0dd9fac64583c3388953517fb305e698303434a9add0f851f28221391c94,591a0dd9fac64583c3388953517fb305e698303434a9add0f851f28221391c94,
table_preference_selection_stability,tables/table_preference_selection_stability.tex,release-evidence-v1,DISPLAY,display table generated from release CSV,release table generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/table_preference_selection_stability.tex,4e3d46ea47afca74980df98c8db75b347ab5cb8338a0c3abc91e1443abe15940,4e3d46ea47afca74980df98c8db75b347ab5cb8338a0c3abc91e1443abe15940,
table_preference_selection_stability_zh,tables/table_preference_selection_stability_zh.tex,release-evidence-v1,DISPLAY,display table generated from release CSV,release table generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/table_preference_selection_stability_zh.tex,c13bfeb6edbdb6d6e68fc56fca35324a8c97df0c70158f8d48d454e164faa083,c13bfeb6edbdb6d6e68fc56fca35324a8c97df0c70158f8d48d454e164faa083,
table_late_event_support,tables/table_late_event_support.tex,release-evidence-v1,DISPLAY,display table generated from release CSV,release table generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/table_late_event_support.tex,a3dfcac29199a32e862f5ec078aae6a5a4616b8da7537808affbf8a70ca03b83,a3dfcac29199a32e862f5ec078aae6a5a4616b8da7537808affbf8a70ca03b83,
table_small_cluster_calibration,tables/table_small_cluster_calibration.tex,release-evidence-v1,DISPLAY,display table generated from release CSV,release table generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/table_small_cluster_calibration.tex,4279e82aaec3172320ddc570f4e5b1afdb8c51b64610e5cb24d8b13a789cb617,4279e82aaec3172320ddc570f4e5b1afdb8c51b64610e5cb24d8b13a789cb617,
table_max_t_family_calibration,tables/table_max_t_family_calibration.tex,release-evidence-v1,DISPLAY,display table generated from release CSV,release table generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/table_max_t_family_calibration.tex,dd69487dc0022554d8252bb74c7cb1b41a352090cda9f9f6bac8803c14bcfeaa,dd69487dc0022554d8252bb74c7cb1b41a352090cda9f9f6bac8803c14bcfeaa,
table_feature_selection_stability,tables/table_feature_selection_stability.tex,release-evidence-v1,DISPLAY,display table generated from release CSV,release table generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/table_feature_selection_stability.tex,5e65c8400c9280a1398adbd3ea9bc69a46d973f462988055548ee4b2700a0c1e,5e65c8400c9280a1398adbd3ea9bc69a46d973f462988055548ee4b2700a0c1e,
table_multiplicity_registry,tables/table_multiplicity_registry.tex,release-evidence-v1,DISPLAY,display table generated from release CSV,release table generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/table_multiplicity_registry.tex,274d391499253735aa42d6bf505c50bbeb3bfc1646559d68b0549d6a8ee56646,274d391499253735aa42d6bf505c50bbeb3bfc1646559d68b0549d6a8ee56646,
table_inference_latency_protocol,tables/table_inference_latency_protocol.tex,release-evidence-v1,DISPLAY,display table generated from release CSV,release table generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/table_inference_latency_protocol.tex,25881eac7a75c3177be1a69ba3d4642b3a241a560e9d2756dc02b7a0d0e50fcb,25881eac7a75c3177be1a69ba3d4642b3a241a560e9d2756dc02b7a0d0e50fcb,
table_condition_normalization_absolute,tables/table_condition_normalization_absolute.tex,release-evidence-v1,DISPLAY,display table generated from release CSV,release table generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/table_condition_normalization_absolute.tex,caab6a1d1531391134c2f87d7dc98dc7f13980cf7fbd45177854744e936e0b44,caab6a1d1531391134c2f87d7dc98dc7f13980cf7fbd45177854744e936e0b44,
table_condition_normalization_contrasts,tables/table_condition_normalization_contrasts.tex,release-evidence-v1,DISPLAY,display table generated from release CSV,release table generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/table_condition_normalization_contrasts.tex,0d6233d2d013db39bbba1ef6e5017baee75d17ff3dfc532d7332f973c01fd072,0d6233d2d013db39bbba1ef6e5017baee75d17ff3dfc532d7332f973c01fd072,
table-normalized-perturbation-summary,tables/table_normalized_perturbation_summary.tex,release-evidence-v1,S-PERTURB-54,display table generated from release CSV,scripts/build_release_evidence.py,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/release_v1/normalized_perturbation_contrasts.csv,6b40a81153e7e2ea8a7ea4eb8268b696e60ef4062d1a40ea0a124b6a9e549650,8e59487cfa1b1ba2190cdfde097494a0c7d03b88e15144587f6dc4accc2d4097,
fig_primary_fixed_task_diagnostic_envelope-pdf,figures/fig_primary_fixed_task_diagnostic_envelope.pdf,release-evidence-v1,DISPLAY,display figure generated from release CSV,release figure generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/figures/fig_primary_fixed_task_diagnostic_envelope.pdf,7cd054b41039e71261b0adb15e53c043e5dfa7e05fa9c7276f9b4d3e88f26f3f,7cd054b41039e71261b0adb15e53c043e5dfa7e05fa9c7276f9b4d3e88f26f3f,
fig_primary_fixed_task_diagnostic_envelope-png,figures/fig_primary_fixed_task_diagnostic_envelope.png,release-evidence-v1,DISPLAY,display figure generated from release CSV,release figure generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/figures/fig_primary_fixed_task_diagnostic_envelope.png,dc69122eccc74a5c685eb7682a14173a82c525ba30f3b5ab9a3336d37b337bfc,dc69122eccc74a5c685eb7682a14173a82c525ba30f3b5ab9a3336d37b337bfc,
fig_endpoint_tolerance_sensitivity-pdf,figures/fig_endpoint_tolerance_sensitivity.pdf,release-evidence-v1,DISPLAY,display figure generated from release CSV,release figure generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/figures/fig_endpoint_tolerance_sensitivity.pdf,b7d44cb047d7df4b964db5f3cf23b60308c1bb9d6d398ed41b86f22e682eaee0,b7d44cb047d7df4b964db5f3cf23b60308c1bb9d6d398ed41b86f22e682eaee0,
fig_endpoint_tolerance_sensitivity-png,figures/fig_endpoint_tolerance_sensitivity.png,release-evidence-v1,DISPLAY,display figure generated from release CSV,release figure generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/figures/fig_endpoint_tolerance_sensitivity.png,6964fe38bf46eafd35cd58bf88967bf081de97c78bb18ede91d44ff5e31e1c5f,6964fe38bf46eafd35cd58bf88967bf081de97c78bb18ede91d44ff5e31e1c5f,
fig_condition_normalization_controls-pdf,figures/fig_condition_normalization_controls.pdf,release-evidence-v1,DISPLAY,display figure generated from release CSV,release figure generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/figures/fig_condition_normalization_controls.pdf,39e5282ab037218230523f60ec3ceefd0ac165580c6005dad6c8c261b950a16c,39e5282ab037218230523f60ec3ceefd0ac165580c6005dad6c8c261b950a16c,
fig_condition_normalization_controls-png,figures/fig_condition_normalization_controls.png,release-evidence-v1,DISPLAY,display figure generated from release CSV,release figure generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/figures/fig_condition_normalization_controls.png,cfe65989a82ac9fbe27a0954559bbf70898cbee9b7778661df170ce51981db55,cfe65989a82ac9fbe27a0954559bbf70898cbee9b7778661df170ce51981db55,
fig_mask_metadata_sensitivity-pdf,figures/fig_mask_metadata_sensitivity.pdf,release-evidence-v1,DISPLAY,display figure generated from release CSV,release figure generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/figures/fig_mask_observation_sensitivity.pdf,4fcd27559e6f1612462c1c6f27a742ad51a928dcaac652b357576af8534a333a,4fcd27559e6f1612462c1c6f27a742ad51a928dcaac652b357576af8534a333a,
fig_mask_metadata_sensitivity-png,figures/fig_mask_metadata_sensitivity.png,release-evidence-v1,DISPLAY,display figure generated from release CSV,release figure generators,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/analysis_working/figures/fig_mask_observation_sensitivity.png,deb1fdfe5d074a3ecf5b909e1808d2beeabd2af5df2b73d07a5e31127492e948,deb1fdfe5d074a3ecf5b909e1808d2beeabd2af5df2b73d07a5e31127492e948,
analysis-object-chronology,analysis_object_chronology.csv,release-evidence-v1,GOVERNANCE,local provenance only; not an externally timestamped prospective analysis plan,scripts/build_release_evidence.py,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,analysis_object,,,9609a8240167c3036dc81b4f1d506fe2b70c71003a5d0aed3b135f267e4444fb,5
fd004-preference-development-search,fd004_preference_development_search.csv,release-evidence-v1,D-PREFERENCE-9,single-split validation-only development record,scripts/build_release_evidence.py,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,late_life_weight|late_over_weight,paper_outputs/advanced_evidence/risk_hyperparameter_search.csv,6bfa56cfc405ae14e36f4ebdc0901cb17c5eee625a6b01a0cb31e9562179c2f6,df22f7497578644d7149f8d95de637a842ab78db5b006a6381dcbf4859440e2c,9
table-fd004-preference-development-search,tables/table_fd004_preference_development_search.tex,release-evidence-v1,DISPLAY,display table generated from the nine-cell development record,scripts/build_release_evidence.py,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,not applicable,paper_outputs/advanced_evidence/risk_hyperparameter_search.csv,6bfa56cfc405ae14e36f4ebdc0901cb17c5eee625a6b01a0cb31e9562179c2f6,60b010bea8e14443a941fd9f66fe7420d74b38cd992aac370abc27abaf5fe9f9,
metric-schema,metric_schema.json,release-evidence-v1,SCHEMA,machine-readable metric denominator and undefined-value contract,scripts/build_release_evidence.py,54adb152a8875f89a1aa38bc57cd80911564cd8d7a01804d45fcae52f5d91b76,metric_id,,,c481b3c7948c1506e06afece569bd8028ea569aada8e93e00fded361c09aea21,
